"id","age","gender","orientation","relation_length","relation_type","se_share","se_antic","se_sync","se_persp","se_sim","se_realc","se_realev","se_cert","rel_identity_1","rel_identity_2","rel_identity_3","rel_identity_4","rel_identity_5","rel_identity_6","rel_identity_7","rel_identity_8","rel_identity_9","rel_identity_10","rel_identity_11","responsive_1","responsive_2","responsive_3","responsive_4","responsive_5","responsive_6","responsive_7","responsive_8","responsive_9","responsive_10","responsive_11","responsive_12","responsive_13","responsive_14","responsive_15","responsive_16","responsive_17","intimate_1","intimate_2","intimate_3","satisfact_1","satisfact_2","satisfact_3","satisfact_4","satisfact_5","satisfact_6"
66,65,2,1,47,5,6,6,4,6,4,2,2,5,4,5,6,2,4,6,5,2,4,4,4,5,5,5,5,5,5,5,5,7,5,2,5,3,5,5,5,7,4,6,6,6,4,4,6,6,7
67,45,1,1,20,5,7,5,5,6,7,7,5,6,6,7,7,7,6,7,5,1,1,6,7,7,6,7,7,7,5,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
68,42,2,1,2,1,5,5,5,5,5,6,6,3,4,5,5,4,4,5,4,7,7,2,2,7,7,6,7,7,6,6,6,6,6,6,5,6,6,6,5,6,5,5,5,5,4,5,5,6,5
69,34,1,1,7,5,6,4,5,6,4,6,6,5,7,7,7,7,7,7,7,3,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
70,31,1,1,12,5,6,2,2,7,4,6,6,6,6,7,7,5,6,7,6,1,1,6,6,7,7,7,7,7,7,7,7,6,7,3,7,7,7,7,7,7,6,6,7,7,7,6,7,7,7
71,26,1,1,3,5,3,5,5,6,4,5,6,5,5,6,6,4,5,6,5,6,6,5,3,3,5,6,5,5,6,4,5,2,3,4,6,5,3,5,5,3,6,5,5,6,6,6,6,5,7
72,23,1,1,2,1,5,6,4,6,6,6,6,6,6,6,6,5,4,5,6,2,1,6,5,7,6,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7
73,53,1,1,27,5,2,2,2,2,1,1,1,1,2,2,6,1,1,5,2,6,5,1,6,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
74,23,1,1,3,5,4,4,3,6,5,4,5,6,7,7,7,6,6,7,6,2,2,7,7,7,6,6,6,6,6,7,6,6,7,5,5,7,7,7,7,7,6,7,7,7,6,6,7,7,7
75,30,2,3,6,5,5,4,6,6,5,6,6,6,7,6,7,6,6,6,7,1,1,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7
